Maximaler Train Acc: 0.9497 bei Epoch: 9714
Maximaler Test Acc: 0.9308 bei Epoch: 8584

/home/boris.grillborzer/miniconda3/envs/gggten/bin/python /home/boris.grillborzer/PycharmProjects/PoseEstimationFPHAB/modelundmainfun.py 


Epoch: 001, Train Acc: 0.5379, Test Acc: 0.5697
Epoch: 002, Train Acc: 0.5431, Test Acc: 0.5774
Epoch: 003, Train Acc: 0.5201, Test Acc: 0.5510
Epoch: 004, Train Acc: 0.5538, Test Acc: 0.5851
Epoch: 005, Train Acc: 0.5371, Test Acc: 0.5697
Epoch: 006, Train Acc: 0.5492, Test Acc: 0.5807
Epoch: 007, Train Acc: 0.5585, Test Acc: 0.5884
Epoch: 008, Train Acc: 0.5618, Test Acc: 0.5906
Epoch: 009, Train Acc: 0.5533, Test Acc: 0.5873
Epoch: 010, Train Acc: 0.5409, Test Acc: 0.5730
Epoch: 011, Train Acc: 0.5522, Test Acc: 0.5785
Epoch: 012, Train Acc: 0.5451, Test Acc: 0.5598
Epoch: 013, Train Acc: 0.5467, Test Acc: 0.5653
Epoch: 014, Train Acc: 0.4893, Test Acc: 0.5104
Epoch: 015, Train Acc: 0.5346, Test Acc: 0.5730
Epoch: 016, Train Acc: 0.5434, Test Acc: 0.5697
Epoch: 017, Train Acc: 0.5316, Test Acc: 0.5741
Epoch: 018, Train Acc: 0.5431, Test Acc: 0.5686
Epoch: 019, Train Acc: 0.5547, Test Acc: 0.5840
Epoch: 020, Train Acc: 0.5503, Test Acc: 0.5774
Epoch: 021, Train Acc: 0.5709, Test Acc: 0.6037
Epoch: 022, Train Acc: 0.5288, Test Acc: 0.5686
Epoch: 023, Train Acc: 0.5547, Test Acc: 0.5829
Epoch: 024, Train Acc: 0.5714, Test Acc: 0.5960
Epoch: 025, Train Acc: 0.5266, Test Acc: 0.5554
Epoch: 026, Train Acc: 0.5264, Test Acc: 0.5554
Epoch: 027, Train Acc: 0.5442, Test Acc: 0.5763
Epoch: 028, Train Acc: 0.5393, Test Acc: 0.5708
Epoch: 029, Train Acc: 0.5184, Test Acc: 0.5302
Epoch: 030, Train Acc: 0.5198, Test Acc: 0.5346
Epoch: 031, Train Acc: 0.5316, Test Acc: 0.5653
Epoch: 032, Train Acc: 0.5420, Test Acc: 0.5686
Epoch: 033, Train Acc: 0.5508, Test Acc: 0.5840
Epoch: 034, Train Acc: 0.5786, Test Acc: 0.6081
Epoch: 035, Train Acc: 0.5527, Test Acc: 0.5862
Epoch: 036, Train Acc: 0.5354, Test Acc: 0.5521
Epoch: 037, Train Acc: 0.5085, Test Acc: 0.5170
Epoch: 038, Train Acc: 0.5511, Test Acc: 0.5851
Epoch: 039, Train Acc: 0.5245, Test Acc: 0.5390
Epoch: 040, Train Acc: 0.5577, Test Acc: 0.5818
Epoch: 041, Train Acc: 0.5286, Test Acc: 0.5467
Epoch: 042, Train Acc: 0.5544, Test Acc: 0.5631
Epoch: 043, Train Acc: 0.5706, Test Acc: 0.5785
Epoch: 044, Train Acc: 0.5755, Test Acc: 0.6026
Epoch: 045, Train Acc: 0.5313, Test Acc: 0.5653
Epoch: 046, Train Acc: 0.5736, Test Acc: 0.5950
Epoch: 047, Train Acc: 0.5212, Test Acc: 0.5357
Epoch: 048, Train Acc: 0.5168, Test Acc: 0.5445
Epoch: 049, Train Acc: 0.5453, Test Acc: 0.5719
Epoch: 050, Train Acc: 0.5544, Test Acc: 0.5884
Epoch: 051, Train Acc: 0.5742, Test Acc: 0.6026
Epoch: 052, Train Acc: 0.5761, Test Acc: 0.6026
Epoch: 053, Train Acc: 0.5758, Test Acc: 0.6026
Epoch: 054, Train Acc: 0.5621, Test Acc: 0.5873
Epoch: 055, Train Acc: 0.5736, Test Acc: 0.6026
Epoch: 056, Train Acc: 0.5769, Test Acc: 0.6026
Epoch: 057, Train Acc: 0.5764, Test Acc: 0.6026
Epoch: 058, Train Acc: 0.5745, Test Acc: 0.6004
Epoch: 059, Train Acc: 0.5786, Test Acc: 0.5971
Epoch: 060, Train Acc: 0.5758, Test Acc: 0.6004
Epoch: 061, Train Acc: 0.5838, Test Acc: 0.6125
Epoch: 062, Train Acc: 0.5780, Test Acc: 0.6037
Epoch: 063, Train Acc: 0.5838, Test Acc: 0.6114
Epoch: 064, Train Acc: 0.5827, Test Acc: 0.6081
Epoch: 065, Train Acc: 0.5898, Test Acc: 0.6158
Epoch: 066, Train Acc: 0.5805, Test Acc: 0.5960
Epoch: 067, Train Acc: 0.5810, Test Acc: 0.6015
Epoch: 068, Train Acc: 0.5786, Test Acc: 0.5862
Epoch: 069, Train Acc: 0.5942, Test Acc: 0.6059
Epoch: 070, Train Acc: 0.5843, Test Acc: 0.5840
Epoch: 071, Train Acc: 0.5909, Test Acc: 0.5982
Epoch: 072, Train Acc: 0.5876, Test Acc: 0.5895
Epoch: 073, Train Acc: 0.5984, Test Acc: 0.6136
Epoch: 074, Train Acc: 0.6047, Test Acc: 0.6147
Epoch: 075, Train Acc: 0.6014, Test Acc: 0.6180
Epoch: 076, Train Acc: 0.6212, Test Acc: 0.6334
Epoch: 077, Train Acc: 0.6088, Test Acc: 0.6059
Epoch: 078, Train Acc: 0.6168, Test Acc: 0.6224
Epoch: 079, Train Acc: 0.6195, Test Acc: 0.6191
Epoch: 080, Train Acc: 0.6341, Test Acc: 0.6476
Epoch: 081, Train Acc: 0.6253, Test Acc: 0.6422
Epoch: 082, Train Acc: 0.6008, Test Acc: 0.6048
Epoch: 083, Train Acc: 0.6192, Test Acc: 0.6356
Epoch: 084, Train Acc: 0.6473, Test Acc: 0.6564
Epoch: 085, Train Acc: 0.6533, Test Acc: 0.6729
Epoch: 086, Train Acc: 0.6404, Test Acc: 0.6729
Epoch: 087, Train Acc: 0.6536, Test Acc: 0.6696
Epoch: 088, Train Acc: 0.6464, Test Acc: 0.6652
Epoch: 089, Train Acc: 0.6577, Test Acc: 0.6817
Epoch: 090, Train Acc: 0.6676, Test Acc: 0.6806
Epoch: 091, Train Acc: 0.6538, Test Acc: 0.6619
Epoch: 092, Train Acc: 0.6742, Test Acc: 0.6806
Epoch: 093, Train Acc: 0.6687, Test Acc: 0.6872
Epoch: 094, Train Acc: 0.6821, Test Acc: 0.6905
Epoch: 095, Train Acc: 0.6679, Test Acc: 0.6685
Epoch: 096, Train Acc: 0.6687, Test Acc: 0.6740
Epoch: 097, Train Acc: 0.6786, Test Acc: 0.6937
Epoch: 098, Train Acc: 0.6728, Test Acc: 0.6872
Epoch: 099, Train Acc: 0.6832, Test Acc: 0.6839
Epoch: 100, Train Acc: 0.6808, Test Acc: 0.6883
Epoch: 101, Train Acc: 0.6764, Test Acc: 0.6751
Epoch: 102, Train Acc: 0.6824, Test Acc: 0.7014
Epoch: 103, Train Acc: 0.6703, Test Acc: 0.6707
Epoch: 104, Train Acc: 0.6981, Test Acc: 0.7091
Epoch: 105, Train Acc: 0.6934, Test Acc: 0.7025
Epoch: 106, Train Acc: 0.6860, Test Acc: 0.6905
Epoch: 107, Train Acc: 0.6816, Test Acc: 0.6872
Epoch: 108, Train Acc: 0.6808, Test Acc: 0.6828
Epoch: 109, Train Acc: 0.6797, Test Acc: 0.6905
Epoch: 110, Train Acc: 0.6973, Test Acc: 0.7036
Epoch: 111, Train Acc: 0.6898, Test Acc: 0.7025
Epoch: 112, Train Acc: 0.7047, Test Acc: 0.7036
Epoch: 113, Train Acc: 0.7025, Test Acc: 0.7124
Epoch: 114, Train Acc: 0.6929, Test Acc: 0.6992
Epoch: 115, Train Acc: 0.6934, Test Acc: 0.6926
Epoch: 116, Train Acc: 0.6995, Test Acc: 0.6970
Epoch: 117, Train Acc: 0.6975, Test Acc: 0.7069
Epoch: 118, Train Acc: 0.6843, Test Acc: 0.7069
Epoch: 119, Train Acc: 0.6904, Test Acc: 0.6948
Epoch: 120, Train Acc: 0.7041, Test Acc: 0.7124
Epoch: 121, Train Acc: 0.7030, Test Acc: 0.7014
Epoch: 122, Train Acc: 0.7025, Test Acc: 0.7135
Epoch: 123, Train Acc: 0.7077, Test Acc: 0.7157
Epoch: 124, Train Acc: 0.7077, Test Acc: 0.7025
Epoch: 125, Train Acc: 0.7113, Test Acc: 0.7234
Epoch: 126, Train Acc: 0.7049, Test Acc: 0.7146
Epoch: 127, Train Acc: 0.6967, Test Acc: 0.7047
Epoch: 128, Train Acc: 0.6923, Test Acc: 0.6992
Epoch: 129, Train Acc: 0.7102, Test Acc: 0.7311
Epoch: 130, Train Acc: 0.7052, Test Acc: 0.7201
Epoch: 131, Train Acc: 0.6973, Test Acc: 0.7091
Epoch: 132, Train Acc: 0.7118, Test Acc: 0.7278
Epoch: 133, Train Acc: 0.6981, Test Acc: 0.7234
Epoch: 134, Train Acc: 0.6783, Test Acc: 0.7003
Epoch: 135, Train Acc: 0.6973, Test Acc: 0.7025
Epoch: 136, Train Acc: 0.7014, Test Acc: 0.7190
Epoch: 137, Train Acc: 0.7104, Test Acc: 0.7146
Epoch: 138, Train Acc: 0.6951, Test Acc: 0.7091
Epoch: 139, Train Acc: 0.6986, Test Acc: 0.7014
Epoch: 140, Train Acc: 0.7126, Test Acc: 0.7267
Epoch: 141, Train Acc: 0.7209, Test Acc: 0.7289
Epoch: 142, Train Acc: 0.7069, Test Acc: 0.7157
Epoch: 143, Train Acc: 0.7220, Test Acc: 0.7212
Epoch: 144, Train Acc: 0.7019, Test Acc: 0.7135
Epoch: 145, Train Acc: 0.7157, Test Acc: 0.7212
Epoch: 146, Train Acc: 0.6893, Test Acc: 0.7058
Epoch: 147, Train Acc: 0.7066, Test Acc: 0.7091
Epoch: 148, Train Acc: 0.7212, Test Acc: 0.7289
Epoch: 149, Train Acc: 0.7159, Test Acc: 0.7278
Epoch: 150, Train Acc: 0.6970, Test Acc: 0.7080
Epoch: 151, Train Acc: 0.7107, Test Acc: 0.7113
Epoch: 152, Train Acc: 0.7118, Test Acc: 0.7245
Epoch: 153, Train Acc: 0.7113, Test Acc: 0.7212
Epoch: 154, Train Acc: 0.7080, Test Acc: 0.7179
Epoch: 155, Train Acc: 0.6918, Test Acc: 0.7179
Epoch: 156, Train Acc: 0.7148, Test Acc: 0.7245
Epoch: 157, Train Acc: 0.7049, Test Acc: 0.7069
Epoch: 158, Train Acc: 0.6959, Test Acc: 0.7091
Epoch: 159, Train Acc: 0.7157, Test Acc: 0.7256
Epoch: 160, Train Acc: 0.7132, Test Acc: 0.7168
Epoch: 161, Train Acc: 0.7283, Test Acc: 0.7333
Epoch: 162, Train Acc: 0.7113, Test Acc: 0.7168
Epoch: 163, Train Acc: 0.7190, Test Acc: 0.7245
Epoch: 164, Train Acc: 0.7102, Test Acc: 0.7212
Epoch: 165, Train Acc: 0.7170, Test Acc: 0.7212
Epoch: 166, Train Acc: 0.7190, Test Acc: 0.7267
Epoch: 167, Train Acc: 0.6989, Test Acc: 0.7014
Epoch: 168, Train Acc: 0.7214, Test Acc: 0.7113
Epoch: 169, Train Acc: 0.7261, Test Acc: 0.7311
Epoch: 170, Train Acc: 0.7245, Test Acc: 0.7267
Epoch: 171, Train Acc: 0.7063, Test Acc: 0.7179
Epoch: 172, Train Acc: 0.7261, Test Acc: 0.7124
Epoch: 173, Train Acc: 0.7137, Test Acc: 0.7179
Epoch: 174, Train Acc: 0.7264, Test Acc: 0.7344
Epoch: 175, Train Acc: 0.7225, Test Acc: 0.7190
Epoch: 176, Train Acc: 0.7302, Test Acc: 0.7201
Epoch: 177, Train Acc: 0.7063, Test Acc: 0.7080
Epoch: 178, Train Acc: 0.7247, Test Acc: 0.7322
Epoch: 179, Train Acc: 0.7096, Test Acc: 0.7278
Epoch: 180, Train Acc: 0.7168, Test Acc: 0.7256
Epoch: 181, Train Acc: 0.7096, Test Acc: 0.7135
Epoch: 182, Train Acc: 0.7027, Test Acc: 0.7212
